	gpt4o	gemini	claude	gold
49	['JOY']	['JOY']	{'JOY', 'LOVE'}	['AGITATION', 'JOY']
50	['LOVE', 'JOY']	['LOVE', 'JOY']	{'JOY', 'LOVE'}	['LOVE']
51	['SADNESS']	['LOVE', 'SADNESS']	{'FEAR', 'SADNESS'}	['AGITATION']
52	['ANGER', 'SADNESS']	['ANGER', 'SADNESS']	{'ANGER', 'SADNESS'}	['ANGER']
53	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['AGITATION', 'JOY', 'LOVE']
54	['NONE']	[]	{'SADNESS'}	['NONE']
55	['LOVE', 'JOY']	['LOVE']	{'JOY', 'LOVE'}	['LOVE']
56	['LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['LOVE']
57	['LOVE']	['FEAR']	{'FEAR'}	['AGITATION', 'LOVE']
58	['LOVE']	['LOVE']	{'JOY'}	['NONE']
59	['LOVE', 'JOY']	['JOY']	{'JOY', 'LOVE'}	['NONE']
60	['LOVE']	['LOVE']	{'JOY', 'LOVE'}	['LOVE']
61	['FEAR']	['FEAR']	{'FEAR', 'SADNESS'}	['JOY', 'LOVE']
62	['NONE']	['SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
63	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
64	['NONE']	['NONE']	{'LOVE', 'SADNESS', 'FEAR', 'JOY', 'ANGER', 'NONE'}	['NONE']
65	['NONE']	['NONE']	{'LOVE', 'SADNESS', 'FEAR', 'JOY', 'ANGER', 'NONE'}	['NONE']
66	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
67	['FEAR', 'SADNESS']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['LOVE', 'SADNESS']
68	['LOVE', 'JOY']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['LOVE']
69	['LOVE']	['LOVE']	{'LOVE'}	['JOY']
70	['NONE']	['NONE']	{'LOVE'}	['NONE']
71	['FEAR']	['NONE']	{'FEAR'}	['SADNESS']
72	['SADNESS', 'ANGER']	['ANGER', 'SADNESS']	{'ANGER', 'SADNESS'}	['LOVE', 'SADNESS']
73	['SADNESS', 'LOVE']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE', 'SADNESS']
74	['SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
75	['SADNESS']	['LOVE', 'SADNESS']	{'SADNESS'}	['NONE']
76	['LOVE', 'SADNESS']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
77	['LOVE', 'JOY']	['LOVE']	{'JOY', 'LOVE'}	['LOVE']
78	['NONE']	[]	{'LOVE', 'SADNESS', 'FEAR', 'JOY', 'ANGER', 'NONE'}	['NONE']
79	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
80	['JOY', 'LOVE']	['JOY']	{'JOY'}	['SADNESS']
81	['NONE']	['NONE']	{'NONE'}	['LOVE']
82	['FEAR']	['ANGER']	{'ANGER', 'SADNESS'}	['NONE']
83	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
84	['LOVE']	['ANGER', 'SADNESS']	{'LOVE', 'SADNESS'}	['NONE']
85	['SADNESS', 'FEAR']	['SADNESS', 'FEAR']	{'FEAR', 'SADNESS'}	['SADNESS']
86	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY', 'SADNESS']
87	['LOVE']	['LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
88	['NONE']	['NONE']	{'JOY'}	['NONE']
89	['LOVE', 'JOY']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['NONE']
90	['JOY', 'LOVE']	['JOY', 'LOVE']	{'FEAR', 'LOVE'}	['LOVE']
91	['FEAR']	['FEAR']	{'FEAR', 'SADNESS'}	['JOY']
92	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
93	['LOVE']	['LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
94	['LOVE', 'SADNESS']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['JOY', 'LOVE', 'SADNESS']
95	['SADNESS', 'ANGER']	['ANGER', 'SADNESS']	{'ANGER', 'SADNESS'}	['ANGER', 'JOY']
96	['ANGER', 'SADNESS']	['ANGER', 'SADNESS']	{'ANGER', 'SADNESS'}	['FEAR', 'SADNESS']
97	['NONE']	['NONE']	{'NONE'}	['NONE']
98	['NONE']	['SADNESS', 'LOVE']	{'SADNESS'}	['LOVE']
99	['NONE']	['NONE']	{'NONE'}	['NONE']
100	['SADNESS']	['SADNESS']	{'FEAR', 'SADNESS'}	['SADNESS']
101	['NONE']	['NONE']	{'NONE'}	['NONE']
102	['NONE']	['NONE']	{'LOVE', 'SADNESS', 'FEAR', 'JOY', 'ANGER', 'NONE'}	['NONE']
103	['SADNESS']	['NONE']	{'FEAR', 'SADNESS'}	['NONE']
104	['JOY']	['JOY']	{'JOY'}	['JOY', 'SADNESS']
105	['JOY', 'LOVE']	['LOVE']	{'JOY', 'LOVE'}	['NONE']
106	['NONE']	['NONE']	{'FEAR'}	['FEAR', 'JOY', 'SADNESS']
107	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['AGITATION']
108	['FEAR']	['FEAR']	{'FEAR'}	['FEAR', 'JOY', 'SADNESS']
109	['SADNESS']	['SADNESS', 'LOVE']	{'SADNESS'}	['LOVE', 'SADNESS']
110	['NONE']	['NONE']	{'NONE'}	['NONE']
111	['NONE']	['NONE']	{'NONE'}	['NONE']
112	['NONE']	['NONE']	{'NONE'}	['NONE']
113	['FEAR']	['FEAR']	{'FEAR'}	['NONE']
114	['JOY']	['JOY']	{'JOY'}	['NONE']
115	['NONE']	[]	{'NONE'}	['NONE']
116	['LOVE', 'SADNESS']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['JOY', 'LOVE', 'SADNESS']
117	['JOY', 'LOVE']	['LOVE']	{'JOY', 'LOVE'}	['NONE']
118	['JOY', 'SADNESS']	['SADNESS', 'JOY']	{'JOY', 'SADNESS'}	['JOY', 'SADNESS']
119	['NONE']	['NONE']	{'NONE'}	['NONE']
120	['SADNESS']	['ANGER', 'SADNESS']	{'SADNESS'}	['AGITATION']
121	['JOY']	['JOY']	{'JOY'}	['NONE']
122	['SADNESS']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
123	['SADNESS']	['FEAR']	{'FEAR', 'SADNESS'}	['AGITATION', 'SADNESS']
124	['LOVE', 'SADNESS']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['SADNESS']
125	['JOY', 'LOVE']	['JOY']	{'JOY', 'LOVE'}	['NONE']
126	['SADNESS']	['JOY']	{'JOY'}	['NONE']
127	['FEAR', 'SADNESS']	['FEAR']	{'FEAR'}	['SADNESS']
128	['FEAR', 'SADNESS']	['FEAR']	{'FEAR', 'SADNESS'}	['SADNESS']
129	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
130	['NONE']	['NONE']	{'NONE'}	['NONE']
131	['NONE']	['SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
132	['NONE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
133	['NONE']	['NONE']	{'NONE'}	['NONE']
134	['FEAR', 'SADNESS']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
135	['LOVE', 'SADNESS']	['LOVE']	{'JOY', 'LOVE', 'SADNESS'}	['JOY', 'LOVE']
136	['SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
137	['SADNESS']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['SADNESS']
138	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
139	['SADNESS', 'JOY']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['JOY', 'SADNESS']
140	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
141	['SADNESS']	['SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
142	['SADNESS']	['JOY']	{'JOY', 'SADNESS'}	['NONE']
143	['NONE']	['NONE']	{'NONE'}	['NONE']
144	['JOY']	['JOY']	{'JOY'}	['JOY']
145	['SADNESS']	['SADNESS']	{'SADNESS'}	['LOVE', 'SADNESS']
146	['JOY']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
147	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY'}	['AGITATION']
148	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
149	['JOY']	['JOY']	{'JOY', 'LOVE'}	['FEAR', 'JOY']
150	['LOVE', 'JOY']	['JOY']	{'JOY'}	['NONE']
151	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
152	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['ANGER', 'LOVE', 'SADNESS']
153	['SADNESS', 'LOVE']	['SADNESS', 'JOY', 'LOVE']	{'LOVE', 'SADNESS'}	['JOY', 'SADNESS']
154	['SADNESS']	['SADNESS']	{'LOVE', 'SADNESS'}	['SADNESS']
155	['LOVE']	['LOVE']	{'LOVE'}	['SADNESS']
156	['NONE']	[]	{'FEAR'}	['NONE']
157	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY'}	['JOY']
158	['SADNESS']	['SADNESS']	{'SADNESS'}	['SADNESS']
159	['NONE']	['NONE']	{'NONE'}	['NONE']
160	['SADNESS']	['SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
161	['FEAR', 'SADNESS']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
162	['NONE']	['ANGER']	{'ANGER', 'SADNESS'}	['NONE']
163	['JOY', 'LOVE']	['JOY']	{'JOY'}	['LOVE']
164	['SADNESS']	['SADNESS', 'LOVE']	{'JOY', 'SADNESS'}	['SADNESS']
165	['SADNESS']	['LOVE', 'SADNESS']	{'SADNESS'}	['SADNESS']
166	['FEAR', 'ANGER']	['ANGER', 'FEAR']	{'FEAR', 'ANGER'}	['ANGER', 'FEAR', 'SADNESS']
167	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
168	['JOY', 'SADNESS']	['LOVE', 'SADNESS']	{'JOY', 'LOVE'}	['LOVE']
169	['SADNESS']	['SADNESS']	{'ANGER', 'SADNESS'}	['SADNESS']
170	['JOY', 'LOVE']	['JOY']	{'JOY'}	['NONE']
171	['LOVE']	['SADNESS']	{'NONE'}	['NONE']
172	['JOY']	['JOY']	{'JOY', 'LOVE'}	['SADNESS']
173	['ANGER', 'SADNESS']	['ANGER', 'FEAR']	{'ANGER', 'SADNESS'}	['JOY']
174	['LOVE']	['LOVE']	{'JOY', 'LOVE'}	['JOY']
175	['SADNESS']	['NONE']	{'SADNESS'}	['SADNESS']
176	['JOY', 'LOVE']	['JOY']	{'JOY'}	['NONE']
177	['NONE']	['SADNESS']	{'SADNESS'}	['NONE']
178	['JOY', 'LOVE']	['JOY']	{'JOY'}	['NONE']
179	['SADNESS']	['SADNESS', 'LOVE']	{'SADNESS'}	['SADNESS']
180	['SADNESS', 'LOVE']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE', 'SADNESS']
181	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY'}	['NONE']
182	['LOVE']	['NONE']	set()	['LOVE']
183	['SADNESS']	['SADNESS', 'LOVE']	{'SADNESS'}	['SADNESS']
184	['LOVE', 'SADNESS']	['LOVE']	{'JOY', 'LOVE', 'SADNESS'}	['LOVE', 'SADNESS']
185	['NONE']	['NONE']	{'NONE'}	['NONE']
186	['JOY']	['JOY']	{'JOY'}	['NONE']
187	['JOY', 'LOVE']	['JOY']	{'JOY'}	['NONE']
188	['NONE']	['NONE']	{'NONE'}	['NONE']
189	['LOVE']	['LOVE', 'JOY']	{'JOY', 'LOVE'}	['NONE']
190	['JOY', 'LOVE']	['LOVE']	{'JOY', 'LOVE'}	['NONE']
191	['FEAR']	['JOY']	{'FEAR'}	['AGITATION', 'JOY']
192	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY']
193	['SADNESS', 'LOVE']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['AGITATION', 'FEAR', 'JOY', 'LOVE', 'SADNESS']
194	['SADNESS']	['SADNESS']	{'SADNESS'}	['SADNESS']
195	['NONE']	['NONE']	{'NONE'}	['NONE']
196	['NONE']	['JOY']	{'FEAR', 'SADNESS'}	['NONE']
197	['NONE']	['NONE']	{'NONE'}	['NONE']
198	['JOY', 'LOVE']	['JOY']	{'JOY'}	['JOY']
199	['JOY', 'SADNESS']	['SADNESS', 'LOVE']	{'JOY', 'SADNESS'}	['SADNESS']
200	['NONE']	['NONE']	{'JOY'}	['AGITATION', 'SADNESS']
201	['ANGER', 'JOY']	['ANGER']	{'JOY', 'ANGER'}	['ANGER', 'LOVE']
202	['NONE']	['NONE']	{'NONE'}	['NONE']
203	['NONE']	['NONE']	{'NONE'}	['NONE']
204	['SADNESS']	['SADNESS']	{'SADNESS'}	['AGITATION']
205	['FEAR', 'SADNESS']	['SADNESS']	{'FEAR', 'SADNESS'}	['SADNESS']
206	['SADNESS']	['SADNESS']	{'ANGER', 'SADNESS'}	['ANGER', 'SADNESS']
207	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
208	['NONE']	['NONE']	{'NONE'}	['NONE']
209	['FEAR', 'LOVE', 'SADNESS']	['SADNESS']	{'FEAR', 'SADNESS'}	['ANGER', 'LOVE', 'SADNESS']
210	['SADNESS']	['SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
211	['NONE']	[]	{'NONE'}	['NONE']
212	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
213	['SADNESS']	['SADNESS']	{'LOVE', 'SADNESS'}	['NONE']
214	['NONE']	['NONE']	{'NONE'}	['JOY']
215	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
216	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
217	['JOY', 'LOVE']	['JOY']	{'JOY'}	['JOY']
218	['SADNESS']	['NONE']	{'FEAR'}	['ANGER']
219	['LOVE', 'SADNESS']	['LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
220	['FEAR']	['SADNESS', 'JOY']	{'FEAR', 'SADNESS'}	['FEAR', 'LOVE']
221	['JOY']	['JOY']	{'JOY'}	['JOY']
222	['FEAR']	['FEAR']	{'FEAR'}	['NONE']
223	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['JOY', 'LOVE', 'SADNESS']
224	['SADNESS']	['LOVE']	{'FEAR', 'SADNESS'}	['NONE']
225	['SADNESS']	['NONE']	{'LOVE', 'SADNESS', 'NONE'}	['LOVE']
226	['SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
227	['SADNESS', 'FEAR']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['SADNESS']
228	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
229	['JOY', 'LOVE']	['LOVE', 'JOY']	{'JOY', 'LOVE'}	['NONE']
230	['FEAR', 'SADNESS']	['SADNESS']	{'FEAR', 'SADNESS'}	['ANGER', 'SADNESS']
231	['FEAR', 'ANGER']	['JOY']	{'FEAR', 'ANGER'}	['ANGER', 'FEAR', 'LOVE']
232	['NONE']	['NONE']	{'NONE'}	['NONE']
233	['JOY']	['JOY']	{'JOY'}	['JOY']
234	['NONE']	['NONE']	{'NONE'}	['NONE']
235	['NONE']	['NONE']	{'NONE'}	['NONE']
236	['JOY']	['JOY', 'LOVE']	{'JOY'}	['JOY', 'SADNESS']
237	['FEAR', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['JOY']
238	['SADNESS']	['SADNESS', 'FEAR']	{'FEAR', 'SADNESS'}	['SADNESS']
239	['SADNESS', 'JOY']	['JOY', 'SADNESS']	{'JOY', 'SADNESS'}	['JOY', 'SADNESS']
240	['LOVE']	['JOY', 'LOVE']	{'JOY', 'SADNESS'}	['AGITATION']
241	['SADNESS']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
242	['LOVE', 'SADNESS']	['NONE']	{'NONE'}	['LOVE', 'SADNESS']
243	['NONE']	['NONE']	{'NONE'}	['NONE']
244	['JOY']	['JOY']	{'JOY'}	['JOY']
245	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['NONE']
246	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
247	['SADNESS']	['SADNESS', 'LOVE']	{'SADNESS'}	['NONE']
248	['LOVE', 'SADNESS']	['LOVE']	{'LOVE'}	['LOVE']
249	['SADNESS']	['SADNESS']	{'SADNESS'}	['SADNESS']
250	['JOY', 'LOVE']	['JOY']	{'JOY'}	['JOY']
251	['LOVE', 'JOY']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
252	['JOY']	['JOY']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
253	['LOVE']	['LOVE', 'JOY']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
254	['JOY']	['JOY']	{'JOY'}	['AGITATION']
255	['SADNESS']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['JOY', 'LOVE', 'SADNESS']
256	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
257	['NONE']	['NONE']	{'NONE'}	['NONE']
258	['NONE']	['NONE']	{'NONE'}	['NONE']
259	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['LOVE']
260	['LOVE', 'SADNESS']	['LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
261	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
262	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
263	['SADNESS', 'LOVE']	['SADNESS']	{'SADNESS'}	['NONE']
264	['LOVE', 'SADNESS']	['SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
265	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY', 'SADNESS']
266	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
267	['NONE']	[]	{'LOVE', 'SADNESS', 'FEAR', 'JOY', 'ANGER', 'NONE'}	['NONE']
268	['JOY']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE', 'SADNESS']
269	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
270	['SADNESS']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['SADNESS']
271	['JOY']	['JOY']	{'JOY'}	['JOY']
272	['LOVE']	['LOVE']	{'LOVE'}	['AGITATION', 'JOY', 'LOVE']
273	['JOY']	['JOY']	{'JOY'}	['JOY']
274	['NONE']	['NONE']	{'JOY'}	['NONE']
275	['LOVE', 'JOY']	['LOVE']	{'LOVE'}	['JOY', 'SADNESS']
276	['NONE']	['NONE']	{'NONE'}	['NONE']
277	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
278	['SADNESS']	['SADNESS']	{'SADNESS'}	['SADNESS']
279	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE']
280	['NONE']	['ANGER']	{'NONE'}	['NONE']
281	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY', 'LOVE', 'SADNESS']
282	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
283	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY', 'LOVE']
284	['ANGER']	['ANGER', 'LOVE']	{'LOVE'}	['NONE']
285	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
286	['LOVE']	['LOVE']	{'JOY', 'LOVE'}	['JOY']
287	['JOY']	['JOY']	{'JOY'}	['JOY', 'SADNESS']
288	['JOY']	['JOY']	{'JOY', 'LOVE'}	['JOY']
289	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
290	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
291	['SADNESS', 'JOY']	['SADNESS']	{'SADNESS'}	['JOY', 'SADNESS']
292	['LOVE', 'JOY']	['LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE', 'SADNESS']
293	[]	[]	{'NONE'}	['NONE']
294	['NONE']	['NONE']	{'LOVE', 'SADNESS', 'FEAR', 'JOY', 'ANGER', 'NONE'}	['NONE']
295	['SADNESS', 'LOVE']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['SADNESS']
296	['ANGER']	['ANGER']	{'ANGER', 'FEAR'}	['NONE']
297	['LOVE']	['LOVE']	{'LOVE'}	['JOY', 'LOVE', 'SADNESS']
298	['LOVE', 'SADNESS']	['LOVE']	{'SADNESS'}	['SADNESS']
299	['LOVE']	['ANGER', 'JOY']	{'JOY', 'LOVE', 'ANGER'}	['AGITATION', 'LOVE']
300	['LOVE']	['LOVE']	{'JOY', 'LOVE'}	['AGITATION', 'JOY', 'LOVE']
301	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
302	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
303	['JOY', 'LOVE']	['LOVE']	{'JOY'}	['NONE']
304	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
305	['JOY']	['JOY']	{'JOY'}	['NONE']
306	['LOVE', 'SADNESS']	['JOY', 'LOVE']	{'LOVE', 'SADNESS'}	['JOY', 'SADNESS']
307	['SADNESS', 'FEAR']	['LOVE', 'SADNESS']	{'FEAR', 'LOVE', 'SADNESS'}	['LOVE']
308	['FEAR']	[]	{'FEAR'}	['NONE']
309	['LOVE']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['JOY', 'SADNESS']
310	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'SADNESS'}	['NONE']
311	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY', 'LOVE', 'SADNESS']
312	[]	['NONE']	{'JOY'}	['LOVE']
313	['JOY']	['JOY']	{'JOY'}	['JOY']
314	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'SADNESS'}	['LOVE']
315	['NONE']	['NONE']	{'NONE'}	['NONE']
316	['SADNESS']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
317	['SADNESS']	['SADNESS']	{'SADNESS'}	['SADNESS']
318	['NONE']	['NONE']	{'NONE'}	['NONE']
319	['SADNESS', 'LOVE']	['SADNESS', 'LOVE']	{'LOVE', 'SADNESS'}	['LOVE', 'SADNESS']
320	['SADNESS']	['SADNESS']	{'SADNESS'}	['SADNESS']
321	['NONE']	['NONE']	{'JOY'}	['NONE']
322	['NONE']	[]	{'NONE'}	['NONE']
323	['SADNESS']	['SADNESS']	{'SADNESS'}	['FEAR', 'SADNESS']
324	['NONE']	['LOVE']	{'JOY'}	['NONE']
325	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY', 'LOVE', 'SADNESS']
326	['LOVE']	['LOVE']	{'LOVE'}	['LOVE']
327	['SADNESS', 'LOVE']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['LOVE']
328	['LOVE']	['LOVE']	{'LOVE'}	['AGITATION', 'LOVE']
329	['JOY', 'LOVE']	['JOY']	{'JOY'}	['NONE']
